cell,t,x_canon,x_phantom,separation,drift_canon,drift_phantom,rms_canon,rms_phantom,peak_amplitude,confined_frac,min_chi
pair_mp_mirror,52.0,25.34933411286476,30.272901424833844,-4.923567311969084,-2.64827974971292,-5.725568154636395,11.60910068915843,8.916403595252639,0.04682344229380492,0.3850878956041576,0.6739570389301958
pair_mp_mirror,56.0,24.984964360004714,28.66636019879912,-3.681395838794405,-3.012649502572966,-7.33210938067112,11.731715198556817,9.115684591904227,0.04955325678792346,0.4746564091500858,0.5756708541776051
pair_mp_mirror,60.0,24.76487478850379,26.931243218200148,-2.166368429696359,-3.2327390740738906,-9.067226361270091,11.996028304073588,9.74329189477855,0.05444868353049788,0.6048134304583499,0.43224569085895603
pair_pm_sep12,0.0,38.00077084717302,26.00129739812044,11.999473449052584,0.0,0.0,5.045166129983036,5.426869013755216,0.02266137768098028,0.17127350994659596,0.9796400081579189
pair_pm_sep12,4.0,37.99950884058722,26.00237355368002,11.997135286907199,-0.0012620065858044427,0.0010761555595806271,5.053822654411964,5.423567082076991,0.022712319605366713,0.17192505304591627,0.9751969717431408
pair_pm_sep12,8.0,37.99992583648207,26.012501377160866,11.987424459321204,-0.0008450106909521082,0.01120397904042747,5.067480300346302,5.441130121886818,0.022689432495947306,0.1721627244932911,0.9776758446769173
pair_pm_sep12,12.0,37.99872677310636,26.038625962005245,11.960100811101118,-0.002044074066660073,0.03732856388480599,5.136095776066363,5.576554097441773,0.022743839346529484,0.1721335101915544,0.9755861319587061
pair_pm_sep12,16.0,37.985790173161874,26.060467255146282,11.925322918015592,-0.014980674011148665,0.05916985702584299,5.3855656594976145,5.731053474906448,0.02275799944665009,0.17151431690019012,0.9675947046586346
pair_pm_sep12,20.0,37.98068348785021,26.09668264872319,11.884000839127019,-0.020087359322815246,0.0953852506027495,5.6952690793074146,5.956540819689483,0.022834435430271725,0.1699374924033898,0.9535219273696552
pair_pm_sep12,24.0,37.98833577508415,26.148319806799922,11.84001596828423,-0.012435072088869958,0.1470224086794829,6.132975356763958,6.3265203696312335,0.022879170310692417,0.17196824513119582,0.934911807966798
pair_pm_sep12,28.0,38.000020388125535,26.224108500834063,11.775911887291471,-0.0007504590474880501,0.22281110271362436,6.741938155079894,6.718164576932885,0.022913031522936722,0.17241798691331223,0.9118814249860615
pair_pm_sep12,32.0,38.0185056883457,26.336867440490916,11.681638247854782,0.01773484117267543,0.3355700423704775,7.407379180205127,7.129701564797808,0.023019617361911344,0.17316640153863908,0.8839175632445827
pair_pm_sep12,36.0,38.05031361663171,26.496556523001164,11.553757093630548,0.049542769458689406,0.4952591248807252,8.073005179683673,7.53734915652921,0.023217655898898033,0.1755465932070685,0.8494905475870751
pair_pm_sep12,40.0,38.10810167064435,26.708936225901752,11.3991654447426,0.1073308234713295,0.707638827781313,8.700851739113363,7.848081011368056,0.02343352777961685,0.17804798200868005,0.8063911243150119
pair_pm_sep12,44.0,38.207434842680016,26.970922065676817,11.236512777003199,0.2066639955069931,0.9696246675563778,9.187961648607857,8.012287615328544,0.023675042516268965,0.18339465703936286,0.7509098035018674
pair_pm_sep12,48.0,38.34536254310663,27.28891158610747,11.05645095699916,0.34459169593360883,1.2876141879870318,9.566328380556353,8.040536940119182,0.02416397434533091,0.19131575057841818,0.6749803368385963
pair_pm_sep12,52.0,38.519808377363496,27.67402898351753,10.845779393845966,0.5190375301904737,1.6727315853970914,9.929124112638053,7.9619963208941344,0.025579540261114735,0.20465175267302532,0.5686597448856798
pair_pm_sep12,56.0,38.683786443729,28.15768142477027,10.526105018958727,0.6830155965559754,2.1563840266498318,10.427725988387776,7.835716905821383,0.026954311235836508,0.22745008751770535,0.41467000374488155
pair_pm_sep12,60.0,38.7216128761516,28.780639061983255,9.940973814168348,0.7208420289785806,2.779341663862816,11.60247945922378,7.6840818788200025,0.030771748699934945,0.2668746236268345,0.20775328387451458
pair_pm_sep16,0.0,40.00034061950118,24.000840327166106,15.999500292335075,0.0,0.0,5.045150294850088,5.426873367261117,0.022572130191828372,0.07703389514178906,0.9769254088372226
