cell,u,radius,r_psi4
convA_pm_sep12_n256,25.0,16.0,1.862409e-02
convA_pm_sep12_n256,30.0,8.0,6.478270e-02
convA_pm_sep12_n256,30.0,16.0,2.681209e-02
convA_pm_sep12_n256,35.0,8.0,1.032367e-01
convA_pm_sep12_n256,35.0,16.0,3.763091e-02
convA_pm_sep12_n256,40.0,8.0,1.598647e-01
convA_pm_sep12_n256,40.0,16.0,5.220326e-02
convA_pm_sep16_n128,5.0,8.0,2.619337e-04
convA_pm_sep16_n128,5.0,16.0,7.713342e-04
convA_pm_sep16_n128,10.0,8.0,9.082385e-04
convA_pm_sep16_n128,10.0,16.0,1.674183e-03
convA_pm_sep16_n128,15.0,8.0,4.160361e-03
convA_pm_sep16_n128,15.0,16.0,3.480051e-03
convA_pm_sep16_n128,20.0,8.0,1.095934e-02
convA_pm_sep16_n128,20.0,16.0,6.294154e-03
convA_pm_sep16_n128,25.0,8.0,2.308789e-02
convA_pm_sep16_n128,25.0,16.0,1.037633e-02
convA_pm_sep16_n128,30.0,8.0,4.261813e-02
convA_pm_sep16_n128,30.0,16.0,1.610627e-02
convA_pm_sep16_n128,35.0,8.0,7.235683e-02
convA_pm_sep16_n128,35.0,16.0,2.445984e-02
convA_pm_sep16_n128,40.0,8.0,1.165618e-01
convA_pm_sep16_n128,40.0,16.0,3.657697e-02
convA_pm_sep16_n192,5.0,8.0,1.121665e-04
convA_pm_sep16_n192,5.0,16.0,9.056674e-04
convA_pm_sep16_n192,10.0,8.0,1.066178e-03
convA_pm_sep16_n192,10.0,16.0,1.798257e-03
convA_pm_sep16_n192,15.0,8.0,4.299403e-03
convA_pm_sep16_n192,15.0,16.0,3.580621e-03
convA_pm_sep16_n192,20.0,8.0,1.105733e-02
convA_pm_sep16_n192,20.0,16.0,6.379410e-03
convA_pm_sep16_n192,25.0,8.0,2.306221e-02
convA_pm_sep16_n192,25.0,16.0,1.038939e-02
convA_pm_sep16_n192,30.0,8.0,4.239369e-02
convA_pm_sep16_n192,30.0,16.0,1.603398e-02
convA_pm_sep16_n192,35.0,8.0,7.171848e-02
convA_pm_sep16_n192,35.0,16.0,2.416077e-02
convA_pm_sep16_n192,40.0,8.0,1.151439e-01
convA_pm_sep16_n192,40.0,16.0,3.593251e-02
convA_pm_sep16_n256,5.0,8.0,1.558780e-04
convA_pm_sep16_n256,5.0,16.0,9.049461e-04
convA_pm_sep16_n256,10.0,8.0,1.022676e-03
convA_pm_sep16_n256,10.0,16.0,1.781817e-03
convA_pm_sep16_n256,15.0,8.0,4.273740e-03
convA_pm_sep16_n256,15.0,16.0,3.543419e-03
convA_pm_sep16_n256,20.0,8.0,1.107848e-02
convA_pm_sep16_n256,20.0,16.0,6.325631e-03
convA_pm_sep16_n256,25.0,8.0,2.316923e-02
convA_pm_sep16_n256,25.0,16.0,1.031758e-02
convA_pm_sep16_n256,30.0,8.0,4.265685e-02
convA_pm_sep16_n256,30.0,16.0,1.596444e-02
convA_pm_sep16_n256,35.0,8.0,7.226752e-02
